what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370287906987
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370287909172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370287955269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288034472
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370288044491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370288059780
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370288062325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288076826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288076864
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370288083788
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370288086507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370288086650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288087358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288133338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288146142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288146944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288149281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288186083
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1370288186131
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370288187060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288193327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288195975
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288197936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288203867
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370288206549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288210118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288210981
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370288213564
error,log,,,"Problems occurred building the selected resources.",1370288213626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288213690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288220944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288221368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288226947
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370288231624
error,log,,,"Errors occurred during the build.",1370288231711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288231724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288237985
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370288241561
error,log,,,"Problems occurred building the selected resources.",1370288241654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288241670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288246753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288247158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288249998
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370288256054
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370288260545
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370288265319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288270578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288283642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370288289203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370288289382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370288290189
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370289032074
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370289034350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370289036959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370289036976
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370289040494
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1370289046548
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1370289046602
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1370289047601
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1370289048708
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1370289048720
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370289050455
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1370289050499
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1370289055707
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370289058674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370289061156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370289063704
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370289063955
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1370289064490
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1370289064490
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1370289064503
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1370289064503
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1370289064503
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1370289064503
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1370289064503
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1370289064503
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1370289064503
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1370289064504
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1370289064504
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1370289064505
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1370289064515
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1370289064515
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1370289064516
stopped,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1370289064527
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1370289064546
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1370289064547
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1370289064547
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1370289064548
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1370289064548
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1370289064548
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1370289064549
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1370289064549
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1370289064549
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1370289064549
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1370289064549
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1370289064550
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1370289064567
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1370289064567
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1370289064568
stopped,bundle,org.eclipse.cdt.debug.ui.memory.transport,2.1.0.201009141542,"org.eclipse.cdt.debug.ui.memory.transport",1370289064568
